rank,pocket_id,receptor_id,ligand_id,mechanistic_class,perturbation_score,state_class,n_states_matched,state_interpretation,accessibility_label,confidence_modifier,state_caveat,classification_confidence,adjusted_confidence,A4_state_robustness,diversity_verdict,coverage_fraction
16,EGFR_170-200_PKT06,EGFR_170-200,97806,interface_rim_modulator_candidate,0.4221,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
17,EGFR_170-200_PKT06,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.4221,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
18,EGFR_160-185_PKT16,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4191,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
19,EGFR_160-185_PKT16,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4191,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
20,EGFR_160-185_PKT16,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4191,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
21,3GT8_raw_PKT05,3GT8_raw,173940,interface_rim_modulator_candidate,0.4163,state_robust_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
22,3GT8_raw_PKT05,3GT8_raw,97806,interface_rim_modulator_candidate,0.4163,state_robust_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
23,3GT8_raw_PKT05,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.4163,state_robust_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
24,3GT8_raw_PKT11,3GT8_raw,173940,interface_rim_modulator_candidate,0.4123,state_robust_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
25,3GT8_raw_PKT11,3GT8_raw,97806,interface_rim_modulator_candidate,0.4123,state_robust_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
26,3GT8_raw_PKT11,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.4123,state_robust_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
27,3GT8_raw_PKT01,3GT8_raw,173940,interface_rim_modulator_candidate,0.4095,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
28,3GT8_raw_PKT01,3GT8_raw,97806,interface_rim_modulator_candidate,0.4095,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
29,3GT8_raw_PKT01,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.4095,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
30,EGFR_160-185_PKT07,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4091,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
31,EGFR_160-185_PKT07,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4091,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
32,3GT8_raw_PKT02,3GT8_raw,97806,interface_rim_modulator_candidate,0.408,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
33,3GT8_raw_PKT02,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.408,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
34,EGFR_160-185_PKT12,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4066,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
35,EGFR_160-185_PKT12,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4066,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
36,EGFR_160-185_PKT12,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4066,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
37,EGFR_170-200_PKT10,EGFR_170-200,173940,interface_rim_modulator_candidate,0.4063,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
38,EGFR_170-200_PKT10,EGFR_170-200,97806,interface_rim_modulator_candidate,0.4063,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
39,EGFR_170-200_PKT10,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.4063,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
40,EGFR_160-185_PKT07,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4061,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
41,EGFR_160-185_PKT15,EGFR_160-185,173940,interface_rim_modulator_candidate,0.4061,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
42,EGFR_160-185_PKT15,EGFR_160-185,97806,interface_rim_modulator_candidate,0.4061,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
43,EGFR_160-185_PKT15,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.4061,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
44,EGFR_170-200_PKT17,EGFR_170-200,97806,interface_rim_modulator_candidate,0.406,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
45,EGFR_170-200_PKT12,EGFR_170-200,97806,interface_rim_modulator_candidate,0.4056,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
46,3GT8_raw_PKT02,3GT8_raw,173940,interface_rim_modulator_candidate,0.405,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
47,EGFR_160-185_PKT23,EGFR_160-185,173940,interface_rim_modulator_candidate,0.403,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
48,EGFR_160-185_PKT23,EGFR_160-185,97806,interface_rim_modulator_candidate,0.403,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
49,EGFR_160-185_PKT23,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.403,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
50,EGFR_170-200_PKT12,EGFR_170-200,173940,interface_rim_modulator_candidate,0.4026,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
51,EGFR_170-200_PKT12,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.4026,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
52,3GT8_raw_PKT08,3GT8_raw,173940,interface_rim_modulator_candidate,0.4009,uncertain_alignment,2,unknown,mostly_accessible,flag,,medium,medium,0.5667,well_distributed,1.000
53,3GT8_raw_PKT14,3GT8_raw,173940,interface_rim_modulator_candidate,0.3991,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
54,3GT8_raw_PKT14,3GT8_raw,97806,interface_rim_modulator_candidate,0.3991,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
55,3GT8_raw_PKT14,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.3991,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
56,EGFR_160-185_PKT09,EGFR_160-185,173940,interface_rim_modulator_candidate,0.3962,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
57,EGFR_160-185_PKT09,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.3962,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
58,3GT8_raw_PKT20,3GT8_raw,173940,interface_rim_modulator_candidate,0.3893,state_specific_pocket,1,state_dependent,single_state_only,flag,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.,medium,medium_provisional,0.5333,well_distributed,1.000
59,3GT8_raw_PKT20,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.3893,state_specific_pocket,1,state_dependent,single_state_only,flag,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.,medium,medium_provisional,0.5333,well_distributed,1.000
60,EGFR_170-200_PKT28,EGFR_170-200,173940,interface_rim_modulator_candidate,0.3885,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
61,EGFR_170-200_PKT28,EGFR_170-200,VAX-C12_0,interface_rim_modulator_candidate,0.3885,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
62,EGFR_160-185_PKT34,EGFR_160-185,173940,interface_rim_modulator_candidate,0.3848,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
63,EGFR_160-185_PKT34,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,0.3848,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
64,3GT8_raw_PKT08,3GT8_raw,97806,interface_rim_modulator_candidate,0.3769,uncertain_alignment,2,unknown,mostly_accessible,flag,,medium,medium,0.5667,well_distributed,1.000
65,3GT8_raw_PKT08,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,0.3769,uncertain_alignment,2,unknown,mostly_accessible,flag,,medium,medium,0.5667,well_distributed,1.000
66,EGFR_160-185_PKT09,EGFR_160-185,97806,interface_rim_modulator_candidate,0.3722,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
67,EGFR_170-200_PKT28,EGFR_170-200,97806,interface_rim_modulator_candidate,0.3705,state_shifted_pocket,3,unknown,always_accessible,flag,,medium,medium,0.65,well_distributed,1.000
68,3GT8_raw_PKT20,3GT8_raw,97806,interface_rim_modulator_candidate,0.3653,state_specific_pocket,1,state_dependent,single_state_only,flag,Only 1 receptor state has pocket data. Cannot determine if state-specific or under-sampled. NOTE: Single-state data. Cross-state persistence unknown. Re-evaluate when additional receptor states have pocket data.,medium,medium_provisional,0.5333,well_distributed,1.000
69,EGFR_160-185_PKT34,EGFR_160-185,97806,interface_rim_modulator_candidate,0.3608,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
70,3GT8_raw_PKT03,3GT8_raw,173940,uncertain_mechanism_candidate,0.2668,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
71,3GT8_raw_PKT03,3GT8_raw,97806,uncertain_mechanism_candidate,0.2668,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
72,3GT8_raw_PKT03,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
73,3GT8_raw_PKT16,3GT8_raw,173940,uncertain_mechanism_candidate,0.2668,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
74,3GT8_raw_PKT16,3GT8_raw,97806,uncertain_mechanism_candidate,0.2668,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
75,3GT8_raw_PKT16,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_robust_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
76,EGFR_160-185_PKT01,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
77,EGFR_160-185_PKT01,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
78,EGFR_160-185_PKT01,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
79,EGFR_160-185_PKT03,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
80,EGFR_160-185_PKT03,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
81,EGFR_160-185_PKT03,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
82,EGFR_160-185_PKT04,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
83,EGFR_160-185_PKT04,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
84,EGFR_160-185_PKT04,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
85,EGFR_160-185_PKT05,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
86,EGFR_160-185_PKT05,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
87,EGFR_160-185_PKT05,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
88,EGFR_160-185_PKT11,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
89,EGFR_160-185_PKT11,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
90,EGFR_160-185_PKT11,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
91,EGFR_160-185_PKT13,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
92,EGFR_160-185_PKT13,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
93,EGFR_160-185_PKT13,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
94,EGFR_160-185_PKT19,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
95,EGFR_160-185_PKT19,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
96,EGFR_160-185_PKT19,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
97,EGFR_160-185_PKT30,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
98,EGFR_160-185_PKT30,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
99,EGFR_160-185_PKT30,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
100,EGFR_160-185_PKT37,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
101,EGFR_160-185_PKT37,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
102,EGFR_160-185_PKT37,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
103,EGFR_160-185_PKT38,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
104,EGFR_160-185_PKT38,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
105,EGFR_160-185_PKT38,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
106,EGFR_170-200_PKT01,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
107,EGFR_170-200_PKT01,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
108,EGFR_170-200_PKT01,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
109,EGFR_170-200_PKT04,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
110,EGFR_170-200_PKT04,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
111,EGFR_170-200_PKT04,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
112,EGFR_170-200_PKT05,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
113,EGFR_170-200_PKT05,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
114,EGFR_170-200_PKT05,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
115,EGFR_170-200_PKT15,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
116,EGFR_170-200_PKT15,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
117,EGFR_170-200_PKT15,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
118,EGFR_170-200_PKT25,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
119,EGFR_170-200_PKT25,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
120,EGFR_170-200_PKT25,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
121,EGFR_170-200_PKT31,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
122,EGFR_170-200_PKT31,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
123,EGFR_170-200_PKT31,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
124,EGFR_170-200_PKT36,EGFR_170-200,173940,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
125,EGFR_170-200_PKT36,EGFR_170-200,97806,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
126,EGFR_170-200_PKT36,EGFR_170-200,VAX-C12_0,uncertain_mechanism_candidate,0.2668,state_shifted_pocket,3,unknown,always_accessible,flag,,low,low,0.65,well_distributed,1.000
127,3GT8_raw_PKT22,3GT8_raw,173940,uncertain_mechanism_candidate,0.2475,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
128,3GT8_raw_PKT22,3GT8_raw,97806,uncertain_mechanism_candidate,0.2475,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
129,3GT8_raw_PKT22,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,0.2475,uncertain_alignment,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
130,EGFR_160-185_PKT14,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
131,EGFR_160-185_PKT14,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
132,EGFR_160-185_PKT14,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
133,EGFR_160-185_PKT27,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
134,EGFR_160-185_PKT27,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
135,EGFR_160-185_PKT27,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
136,EGFR_160-185_PKT29,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
137,EGFR_160-185_PKT29,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
138,EGFR_160-185_PKT29,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
139,EGFR_160-185_PKT39,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
140,EGFR_160-185_PKT39,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
141,EGFR_160-185_PKT39,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
142,EGFR_160-185_PKT40,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
143,EGFR_160-185_PKT40,EGFR_160-185,97806,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
144,EGFR_160-185_PKT40,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
145,EGFR_160-185_PKT43,EGFR_160-185,173940,uncertain_mechanism_candidate,0.2475,state_shifted_pocket,2,unknown,mostly_accessible,flag,,low,low,0.5667,well_distributed,1.000
