pocket_id,receptor_id,ligand_id,mechanistic_class,classification_basis,classification_confidence,A1_ppi_interface,A2_druggability,A3_perturbation_relevance,A4_state_robustness,relationship_class,hotspot_overlap_count,hotspot_overlap_fraction,overall_druggability_tier,ligand_support_strength,state_class,n_states_matched,pose_support_count
3GT8_raw_PKT01,3GT8_raw,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT20,3GT8_raw,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=moderate,medium,0.3062,0.0965,0.5644,0.5333,rim_candidate,2,0.133,tier_3,moderate,state_specific_pocket,1,10
3GT8_raw_PKT22,3GT8_raw,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0242,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,uncertain_alignment,2,5
3GT8_raw_PKT01,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1568,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT02,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1508,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT03,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.149,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_robust_pocket,3,5
3GT8_raw_PKT05,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1346,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT07,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.6835,0.6297,0.65,rim_candidate,1,0.067,tier_1,strong,state_robust_pocket,3,60
3GT8_raw_PKT08,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=moderate,medium,0.3062,0.1229,0.5644,0.5667,rim_candidate,2,0.133,tier_3,moderate,uncertain_alignment,2,10
3GT8_raw_PKT10,3GT8_raw,VAX-C12_0,allosteric_modulator_candidate,allosteric_relationship; tier=tier_2; ligand_support=strong,low,0.253,0.3987,0.525,0.65,allosteric_candidate,0,0.000,tier_2,strong,state_robust_pocket,3,10
3GT8_raw_PKT11,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.1184,0.6444,0.65,rim_candidate,2,0.133,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT14,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2798,0.1151,0.6297,0.65,rim_candidate,1,0.067,tier_3,strong,state_robust_pocket,3,10
3GT8_raw_PKT16,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1136,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_robust_pocket,3,5
3GT8_raw_PKT20,3GT8_raw,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3062,0.0965,0.6444,0.5333,rim_candidate,2,0.133,tier_3,strong,state_specific_pocket,1,10
3GT8_raw_PKT22,3GT8_raw,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0242,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,uncertain_alignment,2,5
EGFR_160-185_PKT01,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.2045,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT02,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1952,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT03,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1802,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT04,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1673,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT05,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.161,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT07,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1532,0.6197,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,9
EGFR_160-185_PKT09,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1514,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,uncertain_alignment,2,10
EGFR_160-185_PKT11,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1439,0.395,0.65,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,3,5
EGFR_160-185_PKT12,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1433,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT13,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1421,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT14,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1412,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT15,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1412,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT16,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1409,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT19,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1352,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT23,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1289,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_robust_pocket,3,10
EGFR_160-185_PKT27,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1208,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT29,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1166,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT30,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1139,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT34,EGFR_160-185,173940,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1058,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,uncertain_alignment,2,10
EGFR_160-185_PKT37,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1043,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT38,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1037,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT39,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1037,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT40,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0938,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT43,EGFR_160-185,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0878,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT01,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.2045,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT02,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1952,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT03,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1802,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT04,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1673,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT05,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.161,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT07,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1532,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT09,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=moderate,low,0.2814,0.1514,0.5497,0.5667,rim_candidate,1,0.071,tier_3,moderate,uncertain_alignment,2,10
EGFR_160-185_PKT11,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1439,0.395,0.65,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,3,5
EGFR_160-185_PKT12,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1433,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT13,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1421,0.385,0.65,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,3,4
EGFR_160-185_PKT14,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1412,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT15,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1412,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT16,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1409,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT19,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1352,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT23,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1289,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_robust_pocket,3,10
EGFR_160-185_PKT27,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1208,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT29,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1166,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT30,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1139,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT34,EGFR_160-185,97806,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=moderate,low,0.2814,0.1058,0.5497,0.5667,rim_candidate,1,0.071,tier_3,moderate,uncertain_alignment,2,10
EGFR_160-185_PKT37,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1043,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT38,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1037,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT39,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1037,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT40,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0938,0.385,0.5667,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,2,4
EGFR_160-185_PKT43,EGFR_160-185,97806,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0878,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT01,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.2045,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT02,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1952,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT03,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1802,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT04,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1673,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT05,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.161,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT07,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1532,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT09,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1514,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,uncertain_alignment,2,10
EGFR_160-185_PKT11,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1439,0.395,0.65,allosteric_candidate,0,0.000,tier_3,moderate,state_shifted_pocket,3,5
EGFR_160-185_PKT12,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1433,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT13,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1421,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT14,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1412,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT15,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1412,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT16,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=2; ligand_support=strong,medium,0.3102,0.1409,0.6444,0.65,rim_candidate,2,0.143,tier_3,strong,state_shifted_pocket,3,10
EGFR_160-185_PKT19,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1352,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT23,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1289,0.6297,0.65,rim_candidate,1,0.071,tier_3,strong,state_robust_pocket,3,10
EGFR_160-185_PKT27,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1208,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT29,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1166,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT30,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1139,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT34,EGFR_160-185,VAX-C12_0,interface_rim_modulator_candidate,rim_relationship; overlap=1; ligand_support=strong,low,0.2814,0.1058,0.6297,0.5667,rim_candidate,1,0.071,tier_3,strong,uncertain_alignment,2,10
EGFR_160-185_PKT37,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1043,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT38,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1037,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_160-185_PKT39,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1037,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT40,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0938,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_160-185_PKT43,EGFR_160-185,VAX-C12_0,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.0878,0.475,0.5667,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,2,5
EGFR_170-200_PKT01,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.2183,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
EGFR_170-200_PKT04,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1607,0.295,0.65,allosteric_candidate,0,0.000,tier_3,weak,state_shifted_pocket,3,1
EGFR_170-200_PKT05,EGFR_170-200,173940,uncertain_mechanism_candidate,rel=allosteric_candidate; overlap=0; tier=tier_3,low,0.253,0.1565,0.475,0.65,allosteric_candidate,0,0.000,tier_3,strong,state_shifted_pocket,3,5
